city,date,count,age,source
Куманово,2020-03-22,1.0,50-59,https://meta.mk/prva-zhrtva-od-korona-virusot-pochina-57-godishna-kumanovka-vkupno-114-zarazeni-
Дебар,2020-03-23,1.0,60-69,https://sitel.com.mk/nova-zhrtva-od-korona-virusot-pochina-63-godishen-mazh-od-debar
Дебар,2020-03-24,1.0,60-69,https://kanal5.com.mk/treta-zhrtva-od-koronavirusot-vo-makedonija-29-novozaboleni/a414904
Струга,2020-03-27,1.0,60-69,https://www.facebook.com/filipce.venko/?epa=SEARCH_BOX
Скопје,2020-03-27,1.0,80+,https://www.libertas.mk/video-filipche-so-detali-za-31-godishniot-mazh-ko%d1%98-pochina-od-koronavirusot/?__cf_chl_jschl_tk__=2a69e43dea86594c1d57cec514558b7362365b51-1585485082-0-AZxIIq5CpHfkuhKZcvF72QjqZg4rjtduOVvyBy8JIjXya6ynVqd-e_YbRidprQhwQlNcazEsD7IV4kpwd2784v5jcEXnpl1L5Z-QRHcXngC4Jwi1pvBBJUHX5N5CZofDmIvisVYQCa-r1xlo6EE7dpVxBzxcYFsH5BITH2fgXwjPaD5f_e0DlWM6HTOLwfH39xEVXY4HDIcbDJ1p7ikuNwPpaC2htZmho-QFi9YQEkNdckMaxD7R9l__dZkUQXakjF6zejRpqs4bz2lVkYc4zP55dMEfJ7mjLJsKRhhd53i1EmmiwSt_HlzboMLIKxmt723HkYnT3x0DxI2Ry89D2K3GNy5rFFTU2pdyZRib19WDKBoiKbB8MS2wadaJPGiPrQ
Скопје,2020-03-28,1.0,30-39,https://www.libertas.mk/video-filipche-so-detali-za-31-godishniot-mazh-ko%d1%98-pochina-od-koronavirusot/?__cf_chl_jschl_tk__=2a69e43dea86594c1d57cec514558b7362365b51-1585485082-0-AZxIIq5CpHfkuhKZcvF72QjqZg4rjtduOVvyBy8JIjXya6ynVqd-e_YbRidprQhwQlNcazEsD7IV4kpwd2784v5jcEXnpl1L5Z-QRHcXngC4Jwi1pvBBJUHX5N5CZofDmIvisVYQCa-r1xlo6EE7dpVxBzxcYFsH5BITH2fgXwjPaD5f_e0DlWM6HTOLwfH39xEVXY4HDIcbDJ1p7ikuNwPpaC2htZmho-QFi9YQEkNdckMaxD7R9l__dZkUQXakjF6zejRpqs4bz2lVkYc4zP55dMEfJ7mjLJsKRhhd53i1EmmiwSt_HlzboMLIKxmt723HkYnT3x0DxI2Ry89D2K3GNy5rFFTU2pdyZRib19WDKBoiKbB8MS2wadaJPGiPrQ
Дебар,2020-03-29,1.0,70-79,https://www.slobodenpecat.mk/novi-26-sluchai-na-koronavirus-vo-makedonija-vkupnata-brojka-na-zarazeni-paczienti-e-285-licza-edno-licze-pochina-i-9-se-izlekuvani/
Дебар,2020-03-30,1.0,40-49,https://www.alsat-m.tv/mk/%d0%bd%d0%be%d0%b2%d0%b8-44-%d1%81%d0%bb%d1%83%d1%87%d0%b0%d0%b8-%d0%bd%d0%b0-%d0%ba%d0%be%d1%80%d0%be%d0%bd%d0%b0-%d0%b2%d0%be-%d0%b7%d0%b5%d0%bc%d1%98%d0%b0%d0%b2%d0%b0/
Куманово,2020-03-30,1.0,70-79,https://www.alsat-m.tv/mk/%d0%bd%d0%be%d0%b2%d0%b8-44-%d1%81%d0%bb%d1%83%d1%87%d0%b0%d0%b8-%d0%bd%d0%b0-%d0%ba%d0%be%d1%80%d0%be%d0%bd%d0%b0-%d0%b2%d0%be-%d0%b7%d0%b5%d0%bc%d1%98%d0%b0%d0%b2%d0%b0/
Струга,2020-03-31,1.0,60-69,https://www.libertas.mk/potvrdeni-25-novi-sluchai-pozitivni-na-kovid-19-vkupnata-bro%d1%98ka-na-di%d1%98agnosticzirani-iznesuva-354-licza/
Куманово,2020-04-01,,,https://www.facebook.com/filipce.venko/?epa=SEARCH_BOX
Куманово,2020-04-02,1.0,70-79,https://www.slobodenpecat.mk/dve-licza-pochinaa-novi-46-zarazeni-od-koronavirus-vo-zemjava/
Тетово,2020-04-02,1.0,60-69,https://www.slobodenpecat.mk/dve-licza-pochinaa-novi-46-zarazeni-od-koronavirus-vo-zemjava/
Струга,2020-04-03,1.0,70-79,https://www.facebook.com/filipce.venko/?epa=SEARCH_BOX
Куманово,2020-04-03,1.0,70-79,https://www.facebook.com/filipce.venko/?epa=SEARCH_BOX
Велес,2020-04-03,1.0,70-79,https://www.facebook.com/filipce.venko/?epa=SEARCH_BOX
Скопје,2020-04-03,1.0,70-79,https://www.facebook.com/filipce.venko/?epa=SEARCH_BOX
Струга,2020-04-04,1.0,60-69,https://fokus.mk/pochina-63-godishen-mazh-od-labunishta-od-korona-virus/
Кочани,2020-04-05,1.0,40-49,https://24.mk/details/novi-15-dijagnosticirani-trojca-pochinati-brojot-na-zarazeni-so-kovid-19-dostigna-570
Тетово,2020-04-05,2.0,60-69,https://24.mk/details/novi-15-dijagnosticirani-trojca-pochinati-brojot-na-zarazeni-so-kovid-19-dostigna-570
Куманово,2020-04-06,1.0,50-59,https://glamur.mk/%d0%b2%d0%ba%d1%83%d0%bf%d0%bd%d0%be-599-%d0%bb%d0%b8%d1%86%d0%b0-%d0%bf%d0%be%d0%b7%d0%b8%d1%82%d0%b8%d0%b2%d0%bd%d0%b8-%d0%bf%d0%b5%d1%82-%d0%bf%d0%be%d1%87%d0%b8%d0%bd%d0%b0%d1%82%d0%b8-%d0%be/
Струга,2020-04-06,1.0,60-69,https://glamur.mk/%d0%b2%d0%ba%d1%83%d0%bf%d0%bd%d0%be-599-%d0%bb%d0%b8%d1%86%d0%b0-%d0%bf%d0%be%d0%b7%d0%b8%d1%82%d0%b8%d0%b2%d0%bd%d0%b8-%d0%bf%d0%b5%d1%82-%d0%bf%d0%be%d1%87%d0%b8%d0%bd%d0%b0%d1%82%d0%b8-%d0%be/
Тетово,2020-04-06,2.0,60-69,https://glamur.mk/%d0%b2%d0%ba%d1%83%d0%bf%d0%bd%d0%be-599-%d0%bb%d0%b8%d1%86%d0%b0-%d0%bf%d0%be%d0%b7%d0%b8%d1%82%d0%b8%d0%b2%d0%bd%d0%b8-%d0%bf%d0%b5%d1%82-%d0%bf%d0%be%d1%87%d0%b8%d0%bd%d0%b0%d1%82%d0%b8-%d0%be/
Штип,2020-04-06,1.0,80+,https://glamur.mk/%d0%b2%d0%ba%d1%83%d0%bf%d0%bd%d0%be-599-%d0%bb%d0%b8%d1%86%d0%b0-%d0%bf%d0%be%d0%b7%d0%b8%d1%82%d0%b8%d0%b2%d0%bd%d0%b8-%d0%bf%d0%b5%d1%82-%d0%bf%d0%be%d1%87%d0%b8%d0%bd%d0%b0%d1%82%d0%b8-%d0%be/
Куманово,2020-04-07,1.0,20-29,https://www.facebook.com/215658488491348/posts/3022999061090596/
Куманово,2020-04-07,1.0,70-79,https://www.facebook.com/215658488491348/posts/3022867341103768/
Скопје,2020-04-07,1.0,40-49,https://www.facebook.com/215658488491348/posts/3022867341103768/
Кавадарци,2020-04-07,1.0,40-49,https://www.facebook.com/215658488491348/posts/3022867341103768/
Скопје,2020-04-09,1.0,40-49,https://www.facebook.com/215658488491348/posts/3027610507296118/
Струга,2020-04-09,1.0,60-69,https://www.facebook.com/215658488491348/posts/3027610507296118/
Прилеп,2020-04-10,1.0,70-79,https://www.libertas.mk/2-novi-pochinati-49-novi-sluchai-vkupno-760-di%d1%98agnosticzirani-licza/
Куманово,2020-04-10,1.0,70-79,https://www.libertas.mk/2-novi-pochinati-49-novi-sluchai-vkupno-760-di%d1%98agnosticzirani-licza/
Скопје,2020-04-12,1.0,70-79,https://www.facebook.com/215658488491348/posts/3035072539883248/
Велес,2020-04-12,1.0,50-59,https://www.facebook.com/215658488491348/posts/3035072539883248/
Прилеп,2020-04-12,1.0,60-69,https://www.facebook.com/215658488491348/posts/3035072539883248/
Скопје,2020-04-12,1.0,60-69,https://www.facebook.com/215658488491348/posts/3035072539883248/
Куманово,2020-04-13,1.0,50-59,https://www.facebook.com/filipce.venko/posts/2362778977362455
Куманово,2020-04-14,1.0,60-69,https://www.facebook.com/filipce.venko/posts/2362778977362455
Прилеп,2020-04-13,1.0,60-69,https://www.facebook.com/filipce.venko/posts/2362778977362455
Велес,2020-04-13,1.0,60-69,https://www.facebook.com/filipce.venko/posts/2362778977362455
Струга,2020-04-13,2.0,60-69,https://www.facebook.com/filipce.venko/posts/2362778977362455
Скопје,2020-04-14,1.0,70-79,https://www.facebook.com/215658488491348/posts/3040250616032107/
Струга,2020-04-15,1.0,50-59,https://www.facebook.com/215658488491348/posts/3042976419092860/
Куманово,2020-04-16,1.0,80+,https://www.facebook.com/215658488491348/posts/3045460648844437/
Крушево,2020-04-16,1.0,70-79,https://www.facebook.com/215658488491348/posts/3045460648844437/
Струга,2020-04-16,1.0,60-69,https://www.facebook.com/215658488491348/posts/3045460648844437/
Прилеп,2020-04-18,1.0,60-69,https://www.libertas.mk/2-smrtni-sluchai-15-izlekuvani-i-37-novi-sluchai-na-kovid-19-vkupno-1207-di%d1%98agnosticzirani-paczienti/
Штип,2020-04-18,1.0,80+,https://www.libertas.mk/2-smrtni-sluchai-15-izlekuvani-i-37-novi-sluchai-na-kovid-19-vkupno-1207-di%d1%98agnosticzirani-paczienti/
Струга,2020-04-19,1.0,40-49,https://www.facebook.com/215658488491348/posts/3052897031434132/
Прилеп,2020-04-19,1.0,70-79,https://www.facebook.com/215658488491348/posts/3052897031434132/
Куманово,2020-04-19,1.0,60-69,https://www.facebook.com/215658488491348/posts/3052897031434132/
Струга,2020-04-20,1.0,70-79,https://www.facebook.com/215658488491348/posts/3055374694519699/
Скопје,2020-04-21,1.0,50-59,https://www.facebook.com/filipce.venko/posts/2369382193368800
Скопје,2020-04-23,1.0,80+,https://www.facebook.com/filipce.venko/posts/2371005833206436
Скопје,2020-04-24,1.0,20-29,http://www.iph.mk/%d1%81%d0%be%d1%81%d1%82%d0%be%d1%98%d0%b1%d0%b0-%d1%81%d0%be-covid-19-%d0%b2%d0%be-%d1%81%d0%b5%d0%b2%d0%b5%d1%80%d0%bd%d0%b0-%d0%bc%d0%b0%d0%ba%d0%b5%d0%b4%d0%be%d0%bd%d0%b8%d1%98%d0%b0-%d0%b8-4/
Гостивар,2020-04-24,1.0,30-39,http://www.iph.mk/%d1%81%d0%be%d1%81%d1%82%d0%be%d1%98%d0%b1%d0%b0-%d1%81%d0%be-covid-19-%d0%b2%d0%be-%d1%81%d0%b5%d0%b2%d0%b5%d1%80%d0%bd%d0%b0-%d0%bc%d0%b0%d0%ba%d0%b5%d0%b4%d0%be%d0%bd%d0%b8%d1%98%d0%b0-%d0%b8-4/
Скопје,2020-04-25,1.0,40-49,http://www.iph.mk/covid19-25-4-2020/
Куманово,2020-04-25,1.0,70-79,http://www.iph.mk/covid19-25-4-2020/
Куманово,2020-04-26,2.0,,http://www.iph.mk/%d0%bf%d0%be%d0%b4%d0%b0%d1%82%d0%be%d1%86%d0%b8-%d0%b7%d0%b0-covid-19-%d0%b7%d0%b0-26-4-2020/
Тетово,2020-04-26,1.0,,http://www.iph.mk/%d0%bf%d0%be%d0%b4%d0%b0%d1%82%d0%be%d1%86%d0%b8-%d0%b7%d0%b0-covid-19-%d0%b7%d0%b0-26-4-2020/
Битола,2020-04-26,1.0,,http://www.iph.mk/%d0%bf%d0%be%d0%b4%d0%b0%d1%82%d0%be%d1%86%d0%b8-%d0%b7%d0%b0-covid-19-%d0%b7%d0%b0-26-4-2020/
Скопје,2020-04-27,3.0,,http://www.iph.mk/%d0%bf%d0%be%d0%b4%d0%b0%d1%82%d0%be%d1%86%d0%b8-%d0%b7%d0%b0-covid-19-%d0%b7%d0%b0-27-4-2020/
Прилеп,2020-04-27,2.0,,http://www.iph.mk/%d0%bf%d0%be%d0%b4%d0%b0%d1%82%d0%be%d1%86%d0%b8-%d0%b7%d0%b0-covid-19-%d0%b7%d0%b0-27-4-2020/
Тетово,2020-04-27,1.0,,http://www.iph.mk/%d0%bf%d0%be%d0%b4%d0%b0%d1%82%d0%be%d1%86%d0%b8-%d0%b7%d0%b0-covid-19-%d0%b7%d0%b0-27-4-2020/
Скопје,2020-04-28,1.0,50-59,http://www.iph.mk/%d0%bf%d0%be%d0%b4%d0%b0%d1%82%d0%be%d1%86%d0%b8-%d0%b7%d0%b0-covid-19-%d0%b7%d0%b0-28-4-2020/
Куманово,2020-04-28,2.0,50-59,http://www.iph.mk/%d0%bf%d0%be%d0%b4%d0%b0%d1%82%d0%be%d1%86%d0%b8-%d0%b7%d0%b0-covid-19-%d0%b7%d0%b0-28-4-2020/
Скопје,2020-04-29,1.0,,http://www.iph.mk/%d0%bf%d0%be%d0%b4%d0%b0%d1%82%d0%be%d1%86%d0%b8-%d0%b7%d0%b0-covid-19-%d0%b7%d0%b0-29-4-2020/
Куманово,2020-04-29,2.0,,http://www.iph.mk/%d0%bf%d0%be%d0%b4%d0%b0%d1%82%d0%be%d1%86%d0%b8-%d0%b7%d0%b0-covid-19-%d0%b7%d0%b0-29-4-2020/
