city,infected_in,infected_in_city,date,count,age,source
Скопје,Италија,,2020-02-26,1,50-59,https://a1on.mk/macedonia/prv-sluchaj-na-zabolen-od-koronavirus-vo-makedonija/
Дебар,Италија,Бреша,2020-03-06,2,60-69,http://zdravstvo.gov.mk/dva-novi-potvrdeni-sluchai-na-korona-virus-vo-debar/
Дебар,Македонија,Дебар,2020-03-09,2,60-69,https://sitel.com.mk/dva-novi-sluchai-na-koronavirus-vo-makedonija-0
Скопје,Италија,,2020-03-09,1,50-59,https://makfax.com.mk/makedonija/%D1%84%D0%B8%D0%BB%D0%B8%D0%BF%D1%87%D0%B5-%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80%D0%BA%D0%B0%D1%82%D0%B0-%D0%B7%D0%B0%D1%80%D0%B0%D0%B7%D0%B5%D0%BD%D0%B0-%D1%81%D0%BE-%D0%BA%D0%BE%D1%80/
Дебар,Македонија,Дебар,2020-03-09,1,40-49,https://telma.com.mk/ushte-tri-novi-sluchai-na-korona-vo-makedonija/
Дебар,Македонија,Дебар,2020-03-11,2,60-69,https://a1on.mk/macedonia/dvajca-novi-zaboleni-od-koronavirus/
Дебар,Македонија,Дебар,2020-03-13,4,50-59,https://civilmedia.mk/13-mart-chetiri-novi-sluchai-na-korona-virus-i-krizna-sostojba-vo-debar-i-tsentar-zhupa-noviteti-vo-zatvorite-na-chekor-do-nato-izborna-hronika/
Скопје,Шпанија,Барцелона,3/14/2020,1,,https://www.magazin.mk/%D0%BA%D0%BE%D1%80%D0%BE%D0%BD%D0%B0-%D0%B2%D0%B8%D1%80%D1%83%D1%81%D0%BE%D1%82-%D1%98%D0%B0-%D0%BD%D0%B0%D0%BF%D0%B0%D1%93%D0%B0-%D0%BC%D0%B0%D0%BA%D0%B5%D0%B4%D0%BE%D0%BD%D0%B8%D1%98%D0%B0-%D1%83/
Дебар,Македонија,Дебар,3/14/2020,5,,https://makfax.com.mk/makedonija/%d0%b2%d0%b8%d0%b4%d0%b5%d0%be-%d1%83%d1%88%d1%82%d0%b5-%d1%88%d0%b5%d1%81%d1%82-%d0%bb%d0%b8%d1%86%d0%b0-%d0%bf%d0%be%d0%b7%d0%b8%d1%82%d0%b8%d0%b2%d0%bd%d0%b8-%d0%bd%d0%b0-%d0%ba%d0%be%d1%80%d0%be/
Скопје,Холандија,,3/16/2020,1,50-59,https://kurir.mk/makedonija/vesti/pet-novi-sluchai-na-koronavirus-se-zatvoraat-aerodromot-vo-skopje-i-granichnite-premini/
Дебар,Македонија,Дебар,3/16/2020,4,,https://kurir.mk/makedonija/vesti/pet-novi-sluchai-na-koronavirus-se-zatvoraat-aerodromot-vo-skopje-i-granichnite-premini/
Скопје,Македонија,Скопје,3/17/2020,2,40-49,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Macedonia
Дебар,Македонија,Дебар,2020-03-17,4,,https://plusinfo.mk/%d1%84%d0%b8%d0%bb%d0%b8%d0%bf%d1%87%d0%b5-%d0%b8%d0%bc%d0%b0%d0%bc%d0%b5-5-%d0%bd%d0%be%d0%b2%d0%b8-%d1%81%d0%bb%d1%83%d1%87%d0%b0%d0%b8-%d0%be%d0%b4-%d0%ba%d0%be%d0%b8-4-%d0%b7%d0%b4%d1%80%d0%b0/
