city,count_infected,count_healed,count_dead,count_active
Битола,19,10,1,8
Валандово,1,0,0,1
Велес,77,20,3,54
Виница,2,1,0,1
Гевгелија,4,1,0,3
Гостивар,19,10,2,7
Дебар,51,33,4,14
Делчево,1,0,0,1
Демир Хисар,1,1,0,0
Кавадарци,7,1,1,5
Кичево,3,1,0,2
Кочани,32,21,2,9
Кратово,1,0,0,1
Крива Паланка,5,2,0,3
Крушево,3,0,1,2
Куманово,401,265,22,114
Македонски Брод,2,0,0,2
Неготино,6,0,0,6
Охрид,17,3,0,14
Пехчево,2,0,0,2
Прилеп,159,55,9,95
Пробиштип,2,1,0,1
Радовиш,4,4,0,0
Скопје,513,504,19,-10
Струга,65,11,14,40
Струмица,1,1,0,0
Тетово,90,40,6,44
Штип,33,18,2,13
